,FULL NAME,TEAM,POS,AGE,PPG,APG,MPG,RPG,SPG,BPG,season,Salary
0,Bismack Biyombo,Orl,C,25.0,5.7,0.8,18.2,5.7,0.26,1.16,2017-2018,17000000.0
1,Patrick Patterson,Okc,PF,28.0,3.9,0.7,15.5,2.3,0.59,0.28,2017-2018,5192000.0
2,Andrew Wiggins,Min,SF,22.0,17.7,2.0,36.3,4.4,1.11,0.62,2017-2018,7574323.0
3,Marcin Gortat,Was,C,33.0,8.4,1.8,25.3,7.6,0.49,0.74,2017-2018,12782609.0
4,Raymond Felton,Okc,PG,33.0,6.9,2.5,16.6,1.9,0.6,0.2,2017-2018,1471382.0
5,Tyus Jones,Min,PG,21.0,5.1,2.8,17.9,1.6,1.16,0.06,2017-2018,1471382.0
6,E'Twaun Moore,Nor,SG,28.0,12.5,2.3,31.5,2.9,0.94,0.13,2017-2018,8445024.0
7,Khris Middleton,Mil,PF,26.0,20.1,4.0,36.4,5.2,1.45,0.26,2017-2018,1300000.0
8,Dragan Bender,Pho,PF,20.0,6.5,1.6,25.2,4.4,0.27,0.65,2017-2018,4468800.0
9,Bradley Beal,Was,SG,24.0,22.6,4.5,36.3,4.4,1.18,0.44,2017-2018,25434263.0
10,Dillon Brooks,Mem,SF,22.0,11.0,1.6,28.7,3.1,0.89,0.21,2017-2018,815615.0
11,Taj Gibson,Min,PF,32.0,12.2,1.2,33.2,7.1,0.76,0.72,2017-2018,14000000.0
12,Darius Miller,Nor,SF,27.0,7.8,1.4,23.7,2.0,0.34,0.21,2017-2018,2100000.0
13,Taurean Prince,Atl,SF,23.0,14.1,2.6,30.0,4.7,1.04,0.51,2017-2018,2526840.0
14,Karl-Anthony Towns,Min,C,22.0,21.3,2.4,35.6,12.4,0.78,1.41,2017-2018,6216840.0
15,Julius Randle,Lal,PF,23.0,16.1,2.6,26.7,8.0,0.52,0.55,2017-2018,4149242.0
16,Patty Mills,San,PG,29.0,10.0,2.8,25.7,1.9,0.67,0.13,2017-2018,10714286.0
17,Cory Joseph,Ind,SG,26.0,7.9,3.2,27.0,3.2,0.98,0.23,2017-2018,7945000.0
18,Yogi Ferrell,Dal,PG,24.0,10.2,2.5,27.8,3.0,0.78,0.11,2017-2018,1312611.0
19,Pat Connaughton,Por,SG,25.0,5.4,1.1,18.1,2.0,0.28,0.27,2017-2018,1471382.0
20,Jakob Poeltl,Tor,C,22.0,6.9,0.7,18.6,4.8,0.48,1.22,2017-2018,2947320.0
21,Joe Ingles,Uta,SF,30.0,11.5,4.8,31.4,4.2,1.1,0.24,2017-2018,14136364.0
22,Ish Smith,Det,PG,29.0,10.9,4.4,24.9,2.7,0.78,0.24,2017-2018,6000000.0
23,Will Barton,Den,SG,27.0,15.7,4.1,33.1,5.0,1.01,0.64,2017-2018,3533333.0
24,Kelly Oubre Jr.,Was,SF,22.0,11.8,1.2,27.5,4.5,0.99,0.43,2017-2018,3208630.0
25,Jamal Murray,Den,SG,20.0,16.7,3.4,31.7,3.7,0.98,0.35,2017-2018,3355320.0
26,Dejounte Murray,San,PG,21.0,8.1,2.9,21.5,5.7,1.2,0.38,2017-2018,1312611.0
27,Ben Simmons,Phi,PG,21.0,15.8,8.2,33.7,8.1,1.73,0.86,2017-2018,6434520.0
